District,Year,Total_Accounts_Thousands,Total_Deposits_Rs_Million,Metro_Accounts_Thousands,Metro_Deposits_Cr,Rural_Accounts_Thousands,Rural_Deposits_Cr,SemiUrban_Accounts_Thousands,SemiUrban_Deposits_Cr,Urban_Accounts_Thousands,Urban_Deposits_Cr,Total_Deposits_Cr
ANAND,2016-17,3929.579,269793.187,,,1097.546,4379.3117,2012.46,11733.8449,819.573,10866.1621,26979.32
ANAND,2017-18,3966.459,273142.076,,,1123.572,4452.0702,2037.805,12001.6328,805.082,10860.5046,27314.21
ANANTAPUR,2009-10,3154.158,64627.815,,,1058.457,1010.8316,1170.143,2623.529,925.558,2828.4209,6462.78
ANANTAPUR,2010-11,3394.707,74541.176,,,1115.201,1109.5577,1279.952,3026.1541,999.554,3318.4058,7454.12
ANANTAPUR,2011-12,3765.15,87896.612,,,1228.993,1191.4992,1438.255,3696.1802,1097.902,3901.9818,8789.66
ANANTAPUR,2012-13,4590.924,97984.639,,,1521.877,1420.7038,1766.361,3946.585,1302.686,4431.1751,9798.46
ANANTAPUR,2013-14,5832.028,109164.238,,,1673.746,1569.625,1914.741,4290.7131,2243.541,5056.0857,10916.42
ANANTAPUR,2014-15,6824.074,140818.924,,,1910.793,1901.9416,2207.778,6320.4188,2705.503,5859.532,14081.89
ANANTAPUR,2015-16,7237.916,141104.971,,,1974.674,2067.3202,2425.039,5296.6292,2838.203,6746.5477,14110.5
ANANTAPUR,2016-17,7756.182,166872.062,,,1902.305,2147.0711,2447.252,5458.4996,3406.625,9081.6355,16687.21
ANANTAPUR,2017-18,7892.691,178283.465,,,1971.523,2431.592,2467.241,5509.7212,3453.927,9887.0333,17828.35
ANANTNAG,2009-10,454.612,14425.113,,,284.459,694.8096,170.153,747.7017,,,1442.51
ANANTNAG,2010-11,513.071,16465.212,,,329.561,837.9412,183.51,808.58,,,1646.52
ANANTNAG,2011-12,622.956,20539.473,,,402.62,1056.6216,220.336,997.3257,,,2053.95
ANANTNAG,2012-13,703.311,24336.413,,,449.599,1223.6862,253.712,1209.9551,,,2433.64
ANANTNAG,2013-14,814.311,26407.198,,,523.603,1340.8129,290.708,1299.9069,,,2640.72
ANANTNAG,2014-15,1009.478,28226.5,,,661.995,1411.9833,347.483,1410.6667,,,2822.65
ANANTNAG,2015-16,1132.582,32108.58,,,733.49,1529.7682,399.092,1681.0898,,,3210.86
ANANTNAG,2016-17,1215.56,35809.391,,,697.065,1536.2414,231.23,637.4317,287.265,1407.266,3580.94
ANANTNAG,2017-18,1330.337,39230.18,,,778.451,1730.4376,250.977,699.8736,300.909,1492.7068,3923.02
ANGUL,2009-10,640.369,26945.839,,,342.994,984.137,297.375,1710.4469,,,2694.58
ANGUL,2010-11,707.353,30903.908,,,365.282,1105.2212,342.071,1985.1696,,,3090.39
ANGUL,2011-12,854.859,36550.955,,,457.951,1241.1496,396.908,2413.9459,,,3655.1
ANGUL,2012-13,3333.613,40985.069,,,2892.5,1588.619,441.113,2509.8879,,,4098.51
ANGUL,2013-14,1127.245,47285.771,,,627.32,1880.4017,499.925,2848.1754,,,4728.58
ANGUL,2014-15,1398.779,57810.736,,,813.062,2377.042,585.717,3404.0316,,,5781.07
ANGUL,2015-16,1628.217,66545.102,,,938.041,2709.8148,690.176,3944.6954,,,6654.51
ANGUL,2016-17,1841.472,82857.68,,,1071.604,3208.0153,769.868,5077.7527,,,8285.77
ANGUL,2017-18,1927.661,96556.667,,,1130.23,3734.0206,797.431,5921.6461,,,9655.67
ANJAW,2009-10,5.588,168.253,,,5.588,16.8253,,,,,16.83
ANJAW,2010-11,6.072,189.81,,,6.072,18.981,,,,,18.98
ANJAW,2011-12,7.704,224.738,,,7.704,22.4738,,,,,22.47
ANJAW,2012-13,7.993,218.036,,,7.993,21.8036,,,,,21.8
ANJAW,2013-14,9.89,264.587,,,9.89,26.4587,,,,,26.46
ANJAW,2014-15,11.918,348.8,,,11.918,34.88,,,,,34.88
ANJAW,2015-16,13.578,381.921,,,13.578,38.1921,,,,,38.19
ANJAW,2016-17,15.425,550.479,,,15.425,55.0479,,,,,55.05
ANJAW,2017-18,16.863,897.118,,,16.863,89.7118,,,,,89.71
ANUPPUR,2009-10,288.537,8076.423,,,176.114,349.398,112.423,458.2443,,,807.64
ANUPPUR,2010-11,429.462,9540.466,,,241.123,380.4162,188.339,573.6304,,,954.05
ANUPPUR,2011-12,450.552,11774.276,,,224.475,435.5,226.077,741.9276,,,1177.43
ANUPPUR,2012-13,515.544,14424.857,,,257.443,534.9629,258.101,907.5228,,,1442.49
ANUPPUR,2013-14,659.504,17133.064,,,342.742,636.5531,316.762,1076.7533,,,1713.31
ANUPPUR,2014-15,809.649,20471.549,,,412.024,809.2267,397.625,1237.9282,,,2047.15
ANUPPUR,2015-16,938.734,22929.387,,,477.84,834.1317,460.894,1458.807,,,2292.94
ANUPPUR,2016-17,995.124,27904.029,,,516.396,1021.2134,478.728,1769.1895,,,2790.4
ANUPPUR,2017-18,1031.126,30087.843,,,550.544,1114.9319,480.582,1893.8524,,,3008.78
ARARIA,2009-10,456.122,11289.552,,,230.265,261.2222,225.857,867.733,,,1128.96
ARARIA,2010-11,497.789,12653.997,,,241.235,288.0632,256.554,977.3365,,,1265.4
ARARIA,2011-12,637.782,13620.97,,,322.11,310.6509,315.672,1051.4461,,,1362.1
ARARIA,2012-13,774.391,16535.87,,,388.38,349.0008,386.011,1304.5862,,,1653.59
ARARIA,2013-14,969.684,20102.557,,,515.07,374.572,454.614,1635.6837,,,2010.26
ARARIA,2014-15,1355.135,23028.322,,,731.805,449.2703,623.33,1853.5619,,,2302.83
ARARIA,2015-16,1932.6,25525.014,,,1065.396,624.5795,867.204,1927.9219,,,2552.5
ARARIA,2016-17,2411.529,31340.708,,,1115.985,632.4068,1295.544,2501.664,,,3134.07
ARARIA,2017-18,2683.45,36669.357,,,1234.821,795.9987,1448.629,2870.937,,,3666.94
ARAVALLI,2013-14,818.082,15460.268,,,435.24,506.4733,382.842,1039.5535,,,1546.03
ARAVALLI,2014-15,1043.383,18089.427,,,572.598,599.0173,470.785,1209.9254,,,1808.94
